ID,MCP95,MCP95_NB,MCP95_B,Kernel95,Kernel95_NB,Kernel95_B,Kernel50,Kernel50_NB,Kernel50_B,MovRate,MovRateNB,MovRateB,DiffMR,TD_NB,TD_B,DiffTD,Visual,VisualNB,VisualB,VegNB,VegB,SoilNB,SoilB,Sex,BoldH_A,BoldH_B,BoldH_AB,BoldB_A,BoldB_B,BoldB_AB,Agg2_A,Agg2_B,Agg2_AB,Exp1L_A,Exp1L_B,Exp1L_AB,Exp1A_A,Exp1A_B,Exp1A_AB,Act_A,Act_B,Act_AB,Explo2_TF_A,Explo2_TF_B,Explo2_TF_AB,Explo2_S_A,Explo2_S_B,Explo2_S_AB
CA52,13.689482,9.13426,6.141012,32.25261,32.97944,25.154539,8.687747,7.7351328,6.2711976,29.144493,38.273196,26.08305,-12.190146,4615.0544,1790.424,-2824.6304,47.61904762,52.94117647,57.89473684,46.47059,42.63158,42.05882,42.63158,M,1737,957,1347,2330,4479,3404.5,1,90,45.5,841,1326,1083.5,917,1551,1234,9494,12658,11076,776,711,743.5,91,54,72.5
CA53,26.8132,18.3246505,31.1142034,80.035099,66.009793,136.250366,11.1885728,12.5439045,22.2627815,35.702315,26.288476,69.65926,43.370784,3729.3893,3832.063,102.6737,33.89830508,37.5,44.44444444,41.09375,53.05556,41.09375,53.05556,M,1842,4756,3299,2511,7200,4855.5,4,15,9.5,1072,1136,1104,1136,2760,1948,3213,1082,2147.5,1713,1247,1480,133,98,115.5
CA54,33.341426,19.8700292,16.3116822,86.819613,99.926772,77.421077,13.7378253,10.4321051,18.4594191,45.672547,56.761507,52.03711,-4.724397,5455.9824,3741.122,-1714.8604,29.62962963,7.407407407,77.77777778,30,58.88889,10.37037,58.88889,M,4683,2606,3644.5,5522,2991,4256.5,6,31,18.5,1814,1741,1777.5,3205,1904,2554.5,7045,12018,9531.5,814,903,858.5,67,67,67
CA56,1.228844,0.6600668,0.6810759,4.347773,2.42869,3.598136,0.8041206,0.4969285,0.5441595,8.463088,6.028362,14.0145,7.986138,702.3153,1090.852,388.5367,35.71428571,25.92592593,54.54545455,79.07407,62.72727,20.92593,62.72727,F,7200,7200,7200,7200,7200,7200,60,110,85,3600,3600,3600,3600,3600,3600,506,357,431.5,303,171,237,0,0,0
CA57,22.01589,8.5750343,18.9151313,86.463566,46.428271,193.727759,9.7063036,5.9113931,32.5878718,27.351016,34.004646,34.98154,0.976894,4194.4065,1960.893,-2233.5135,30,37.03703704,38.46153846,53.7037,76.15385,38.96296,76.15385,M,1727,3306,2516.5,2681,4330,3505.5,286,244,265,2376,3600,2988,2609,3600,3104.5,1947,4633,3290,574,518,546,45,29,37
CA58,4.452492,2.2335737,4.3234842,11.123372,9.01033,16.946853,1.8309997,1.5551918,3.9911613,18.480351,15.385893,32.44959,17.063697,1788.4239,2302.592,514.1681,38.59649123,44.44444444,50,45.92593,52,38.88889,52,F,4873,2825,3849,5569,2904,4236.5,155,72,113.5,3600,1951,2775.5,3600,3600,3600,5658,4326,4992,811,695,753,39,46,42.5
CA59,6.73378,5.5961091,7.7268438,19.71388,16.684337,36.726168,2.9294739,3.3141897,8.5821511,28.465498,29.665925,48.92466,19.258735,3410.0299,2529.593,-880.4369,41.17647059,40.74074074,71.42857143,46.2963,47.85714,50,47.85714,M,1427,191,809,1839,2297,2068,50,119,84.5,2146,914,1530,2275,1069,1672,3850,5443,4646.5,1961,1565,1763,166,140,153
CA62,2.988411,1.8105911,2.8635955,6.662153,6.877429,9.74191,1.4490005,1.3937785,2.600402,13.322763,8.207033,25.55612,17.349087,868.8438,2091.699,1222.8552,52.72727273,51.72413793,73.68421053,36.2069,49.47368,41.37931,49.47368,F,3930,4604,4267,5641,5169,5405,32,68,50,1172,180,676,1275,396,835.5,7897,8608,8252.5,1408,1259,1333.5,59,62,60.5
CA65,11.626354,3.2673504,11.946376,24.669783,13.038996,40.755411,4.0263364,1.9907497,10.75388,29.741548,22.752316,50.60123,27.848914,1868.7766,4297.152,2428.3754,54.90196078,62.5,68.42105263,40.41667,54.21053,40.41667,54.21053,F,4871,2280,3575.5,5690,3374,4532,207,171,189,1327,1335,1331,1708,1295,1501.5,9611,10786,10198.5,729,1063,896,72,143,107.5
CA66,18.54688,5.4825175,15.3029654,46.589896,40.960081,55.906097,8.2700743,3.2519676,15.8946774,35.630116,35.123228,50.80999,15.686762,3583.6331,4066.084,482.4509,56,57.69230769,76.47058824,49.23077,52.94118,34.23077,52.94118,M,1924,4070,2997,5982,6009,5995.5,139,134,136.5,481,1978,1229.5,635,2554,1594.5,8088,8030,8059,1981,1515,1748,238,176,207
CA68,12.082962,6.201869,15.7292113,34.027778,25.44003,47.884917,8.0485197,6.5549621,11.8522283,33.89806,22.356345,59.59958,37.243235,2760.5868,4762.701,2002.1142,59.61538462,57.14285714,68.42105263,38.92857,41.68421,54.28571,41.68421,M,6546,7200,6873,7200,7200,7200,150,154,152,1517,3225,2371,1610,3403,2506.5,2711,2932,2821.5,592,629,610.5,46,45,45.5
CA70,19.008369,8.128687,14.2054428,64.143948,32.112281,94.446736,12.7733853,7.2413631,24.0842608,30.234483,26.00155,49.52195,23.5204,3106.2577,3745.491,639.2333,60.37735849,60,76.47058824,42.33333,41.47059,32.33333,41.47059,M,5834,5981,5907.5,7200,7200,7200,13,13,13,2714,3600,3157,2914,3600,3257,1460,324,892,804,,804,44,,44
CA71,6.524908,2.0070023,12.5493467,18.5187,7.162716,45.445993,2.9719466,1.6708433,8.5437134,23.765979,13.089309,49.44732,36.358011,1566.9958,3868.985,2301.9892,29.09090909,37.93103448,26.31578947,57.24138,63.15789,35.86207,63.15789,M,4295,3662,3978.5,4852,7200,6026,57,120,88.5,912,2375,1643.5,993,2465,1729,4515,3531,4023,1640,936,1288,173,100,136.5
CA72,16.420053,5.2573158,8.8680506,79.023616,136.706581,43.398441,14.7787012,18.9404517,11.3590567,44.774064,86.430563,32.05963,-54.370933,3637.2858,2104.648,-1532.6378,40,46.15384615,53.33333333,45.38462,49.66667,32.30769,49.66667,M,246,242,244,307,385,346,3,4,3.5,97,59,78,146,95,120.5,5699,2388,4043.5,1754,1403,1578.5,199,181,190
